model,best_params,best_score
SVR(),"{'C': 0.8269043298422676, 'coef0': -0.2966221385124004, 'epsilon': 0.3740703969999889, 'gamma': 0.37245023870242516, 'kernel': 'rbf', 'shrinking': True}",-1.0635335592031505
SVR(),"{'C': 1.2453583397072752, 'coef0': -0.6814873947651512, 'epsilon': 0.4510927830768403, 'gamma': 0.4397753705206131, 'kernel': 'rbf', 'shrinking': True}",-1.06530700750349
NuSVR(),"{'C': 0.9575784389726323, 'coef0': -0.8430849861537528, 'gamma': 0.2409125160636984, 'kernel': 'rbf', 'nu': 0.5569919554406604, 'shrinking': True}",-1.0655183896157256
SVR(),"{'C': 0.7959846892047655, 'coef0': -0.09460236236706532, 'epsilon': 0.33530667432870576, 'gamma': 0.25549227756053133, 'kernel': 'rbf', 'shrinking': True}",-1.065703432300271
SVR(),"{'C': 1.060107965118518, 'coef0': -0.5226977287296724, 'epsilon': 0.3752299839635821, 'gamma': 0.4065869994874326, 'kernel': 'rbf', 'shrinking': True}",-1.0657195358350566
SVR(),"{'C': 1.563136322041963, 'coef0': -0.7475857679535858, 'epsilon': 0.44016078012101223, 'gamma': 0.43562252628573006, 'kernel': 'rbf', 'shrinking': False}",-1.0657775657256372
SVR(),"{'C': 1.565942927783854, 'coef0': -0.7715648777568374, 'epsilon': 0.5143981964533241, 'gamma': 0.3456002268432718, 'kernel': 'rbf', 'shrinking': True}",-1.0662004902988487
NuSVR(),"{'C': 0.631071903565561, 'coef0': -0.4750662371455975, 'gamma': 0.39295548466833397, 'kernel': 'rbf', 'nu': 0.5430242329262424, 'shrinking': False}",-1.066393929769185
SVR(),"{'C': 0.956095872464314, 'coef0': -0.6820953859920473, 'epsilon': 0.2937138268393704, 'gamma': 0.3329714892191004, 'kernel': 'rbf', 'shrinking': False}",-1.0664043579641684
SVR(),"{'C': 1.663611755211241, 'coef0': -0.49900263225092567, 'epsilon': 0.48865827183155053, 'gamma': 0.4645264095201735, 'kernel': 'rbf', 'shrinking': True}",-1.0669518849413397
SVR(),"{'C': 0.521802520135485, 'coef0': -0.09575475135581102, 'epsilon': 0.4009168563114688, 'gamma': 0.2303055479059115, 'kernel': 'rbf', 'shrinking': True}",-1.0677684002824068
SVR(),"{'C': 1.1813604145091086, 'coef0': -0.4183734782370381, 'epsilon': 0.32983654668641793, 'gamma': 0.31198638539178875, 'kernel': 'rbf', 'shrinking': False}",-1.0677733828830256
NuSVR(),"{'C': 1.1850239575202433, 'coef0': -0.42055902787455135, 'gamma': 0.43549534375832444, 'kernel': 'rbf', 'nu': 0.47220177986326195, 'shrinking': True}",-1.06843387026959
NuSVR(),"{'C': 1.095229849828133, 'coef0': -0.17841623416203134, 'gamma': 0.3525934871292763, 'kernel': 'rbf', 'nu': 0.6077934224792103, 'shrinking': True}",-1.068698904623766
NuSVR(),"{'C': 1.4469604451689086, 'coef0': -0.6977931623975244, 'gamma': 0.48987494653682334, 'kernel': 'rbf', 'nu': 0.4557256102380326, 'shrinking': False}",-1.0687969096028058
NuSVR(),"{'C': 0.6770857084369264, 'coef0': -0.4524369433735925, 'gamma': 0.43803515636831586, 'kernel': 'rbf', 'nu': 0.4986078278327175, 'shrinking': True}",-1.0697947257896616
NuSVR(),"{'C': 1.1462045198621307, 'coef0': -0.022927977542384737, 'gamma': 0.48374118844135844, 'kernel': 'rbf', 'nu': 0.6324401928685052, 'shrinking': True}",-1.0704745483937554
NuSVR(),"{'C': 2.0039894709962973, 'coef0': -0.5113417281684495, 'gamma': 0.4645264095201735, 'kernel': 'rbf', 'nu': 0.42059457276586687, 'shrinking': True}",-1.071282833439495
NuSVR(),"{'C': 1.866736825594555, 'coef0': -0.4879365521464456, 'gamma': 0.45234041638555134, 'kernel': 'rbf', 'nu': 0.500048485905413, 'shrinking': False}",-1.072275005330531
NuSVR(),"{'C': 0.7981329486594215, 'coef0': -0.45307362485313785, 'gamma': 0.4736721565890813, 'kernel': 'rbf', 'nu': 0.7789638327219172, 'shrinking': False}",-1.07337516643707
GradientBoostingRegressor(),"{'alpha': 0.6016883496146411, 'ccp_alpha': 0.05778834319060733, 'learning_rate': 0.3742887647877291, 'loss': 'ls', 'max_depth': 4, 'max_features': 0.6294682560771839, 'max_leaf_nodes': 16, 'min_impurity_decrease': 0.02369262638594527, 'min_samples_leaf': 0.062036336740666, 'min_samples_split': 0.3976586885434581, 'min_weight_fraction_leaf': 0.42513292986121365, 'n_estimators': 400, 'subsample': 0.7393146318202508}",-1.1788538655879557
GradientBoostingRegressor(),"{'alpha': 0.13612919942467272, 'ccp_alpha': 0.03519717578725534, 'learning_rate': 0.4698235851526157, 'loss': 'ls', 'max_depth': 8, 'max_features': 0.1772511075415898, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.3712126937889776, 'min_samples_leaf': 0.24255654965603124, 'min_samples_split': 0.5724273312064186, 'min_weight_fraction_leaf': 0.017576443243468576, 'n_estimators': 50, 'subsample': 0.8606842008895599}",-1.1873354256012598
GradientBoostingRegressor(),"{'alpha': 0.9862750164026176, 'ccp_alpha': 0.012425307201586966, 'learning_rate': 0.6357359335161772, 'loss': 'ls', 'max_depth': 8, 'max_features': 0.08455912577245484, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.3917871584515934, 'min_samples_leaf': 0.35196568413034934, 'min_samples_split': 0.4943805976624448, 'min_weight_fraction_leaf': 0.0780461938295618, 'n_estimators': 600, 'subsample': 0.7904240090530127}",-1.189789905946554
GradientBoostingRegressor(),"{'alpha': 0.5704203483622935, 'ccp_alpha': 0.00338757888692498, 'learning_rate': 0.5458122113255186, 'loss': 'huber', 'max_depth': 8, 'max_features': 0.48344192467663427, 'max_leaf_nodes': 16, 'min_impurity_decrease': 0.7100389093017466, 'min_samples_leaf': 0.41020264629301817, 'min_samples_split': 0.06396804587044824, 'min_weight_fraction_leaf': 0.12147715222672584, 'n_estimators': 600, 'subsample': 0.9424109053334238}",-1.1985034498495897
RandomForestRegressor(),"{'ccp_alpha': 0.01894751840389841, 'criterion': 'mse', 'max_depth': 8, 'max_features': 0.3112900350764771, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.07164354925618555, 'min_samples_leaf': 0.16962724239470706, 'min_samples_split': 0.4006712766190478, 'min_weight_fraction_leaf': 0.2364561249312146, 'n_estimators': 200}",-1.2008353202907485
GradientBoostingRegressor(),"{'alpha': 0.9472203196455478, 'ccp_alpha': 0.07682789082306185, 'learning_rate': 0.1500819040953708, 'loss': 'ls', 'max_depth': 16, 'max_features': 0.41232531417556273, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.8845066637792363, 'min_samples_leaf': 0.19657929151382586, 'min_samples_split': 0.15355674768201677, 'min_weight_fraction_leaf': 0.21612686704420325, 'n_estimators': 400, 'subsample': 0.6045436980913037}",-1.201604698557178
GradientBoostingRegressor(),"{'alpha': 0.12608920991435524, 'ccp_alpha': 0.04846516623665387, 'learning_rate': 0.9372119400839268, 'loss': 'ls', 'max_depth': 2, 'max_features': 0.3271447514807748, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.677841023943761, 'min_samples_leaf': 0.09957971482268341, 'min_samples_split': 0.39104817789090196, 'min_weight_fraction_leaf': 0.4670132124053925, 'n_estimators': 200, 'subsample': 0.656782393070885}",-1.2053992564718934
GradientBoostingRegressor(),"{'alpha': 0.6264173309769009, 'ccp_alpha': 0.005791882802943071, 'learning_rate': 0.03963923062453778, 'loss': 'ls', 'max_depth': 16, 'max_features': 0.5180083681001652, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.48486894957393534, 'min_samples_leaf': 0.01144146844090671, 'min_samples_split': 0.0386722679140834, 'min_weight_fraction_leaf': 0.4276546312549773, 'n_estimators': 200, 'subsample': 0.09623336488132705}",-1.2067018507964469
GradientBoostingRegressor(),"{'alpha': 0.6279274481806656, 'ccp_alpha': 0.17415576502292962, 'learning_rate': 0.32496545383425746, 'loss': 'ls', 'max_depth': 2, 'max_features': 0.48892779462967695, 'max_leaf_nodes': 8, 'min_impurity_decrease': 0.5421158201322557, 'min_samples_leaf': 0.17643459123882654, 'min_samples_split': 0.2898988366598775, 'min_weight_fraction_leaf': 0.03150592620005693, 'n_estimators': 400, 'subsample': 0.49620334137653455}",-1.206854646270348
GradientBoostingRegressor(),"{'alpha': 0.5715564795496717, 'ccp_alpha': 0.11659729531896679, 'learning_rate': 0.7913062574624942, 'loss': 'ls', 'max_depth': 2, 'max_features': 0.1410647234705793, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.2630895040323228, 'min_samples_leaf': 0.2929142921439542, 'min_samples_split': 0.15966472100273255, 'min_weight_fraction_leaf': 0.3509243419080022, 'n_estimators': 200, 'subsample': 0.9867829291762522}",-1.2093227697645683
GradientBoostingRegressor(),"{'alpha': 0.11768585278559618, 'ccp_alpha': 0.08849178961513193, 'learning_rate': 0.13008628049477455, 'loss': 'ls', 'max_depth': 16, 'max_features': 0.41238097453596445, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.7440548169002528, 'min_samples_leaf': 0.38451198867672093, 'min_samples_split': 0.12153831642106716, 'min_weight_fraction_leaf': 0.1692320256465607, 'n_estimators': 100, 'subsample': 0.8945823424110393}",-1.2094502344258564
RandomForestRegressor(),"{'ccp_alpha': 0.05394807430478654, 'criterion': 'mse', 'max_depth': 32, 'max_features': 0.5234386159845551, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.10578436905293098, 'min_samples_leaf': 0.16019666393642545, 'min_samples_split': 0.23320815546789975, 'min_weight_fraction_leaf': 0.25912173080774864, 'n_estimators': 50}",-1.2101848625378033
RandomForestRegressor(),"{'ccp_alpha': 0.019454451882791046, 'criterion': 'mae', 'max_depth': 8, 'max_features': 0.8944428600270651, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.038736893138328954, 'min_samples_leaf': 0.028541907522812715, 'min_samples_split': 0.11618121903130718, 'min_weight_fraction_leaf': 0.2897612151784835, 'n_estimators': 50}",-1.210536367204371
RandomForestRegressor(),"{'ccp_alpha': 0.07420696717120645, 'criterion': 'mse', 'max_depth': 16, 'max_features': 0.9931388022848838, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.15788994542656865, 'min_samples_leaf': 0.2136390768942405, 'min_samples_split': 0.17270327633740967, 'min_weight_fraction_leaf': 0.23025257554824902, 'n_estimators': 50}",-1.2122413797942977
RandomForestRegressor(),"{'ccp_alpha': 0.18160908344308224, 'criterion': 'mse', 'max_depth': 4, 'max_features': 0.8775129520440305, 'max_leaf_nodes': 8, 'min_impurity_decrease': 0.005389917789702214, 'min_samples_leaf': 0.12279938522260225, 'min_samples_split': 0.4418200783539812, 'min_weight_fraction_leaf': 0.4462365970226637, 'n_estimators': 50}",-1.2193263462858168
RandomForestRegressor(),"{'ccp_alpha': 0.17726787745575823, 'criterion': 'mse', 'max_depth': 4, 'max_features': 0.911387731490398, 'max_leaf_nodes': 8, 'min_impurity_decrease': 0.21285328425407857, 'min_samples_leaf': 0.16757530031937384, 'min_samples_split': 0.33631085468578803, 'min_weight_fraction_leaf': 0.4094458945736879, 'n_estimators': 600}",-1.2200339100862205
RandomForestRegressor(),"{'ccp_alpha': 0.1911597646818204, 'criterion': 'mse', 'max_depth': 16, 'max_features': 0.6824746274691178, 'max_leaf_nodes': 32, 'min_impurity_decrease': 0.17019084981195554, 'min_samples_leaf': 0.27094723766737233, 'min_samples_split': 0.540846979732354, 'min_weight_fraction_leaf': 0.42005852929961784, 'n_estimators': 200}",-1.2201106883644104
RandomForestRegressor(),"{'ccp_alpha': 0.04588327001181247, 'criterion': 'mse', 'max_depth': 32, 'max_features': 0.2528369205476856, 'max_leaf_nodes': 16, 'min_impurity_decrease': 0.1490274504344936, 'min_samples_leaf': 0.1764410128441945, 'min_samples_split': 0.3905542279716474, 'min_weight_fraction_leaf': 0.36377607548864066, 'n_estimators': 200}",-1.225864684566607
RandomForestRegressor(),"{'ccp_alpha': 0.1834797848005988, 'criterion': 'mse', 'max_depth': 16, 'max_features': 0.37253299061210243, 'max_leaf_nodes': 64, 'min_impurity_decrease': 0.1203956878540402, 'min_samples_leaf': 0.1033083851146615, 'min_samples_split': 0.3375975047549009, 'min_weight_fraction_leaf': 0.32778790097668187, 'n_estimators': 400}",-1.2267068708915843
RandomForestRegressor(),"{'ccp_alpha': 0.08542718059557919, 'criterion': 'mse', 'max_depth': 2, 'max_features': 0.21471847247960996, 'max_leaf_nodes': 16, 'min_impurity_decrease': 0.08210722400888049, 'min_samples_leaf': 0.10664309571432573, 'min_samples_split': 0.20483784664128823, 'min_weight_fraction_leaf': 0.4633917658789862, 'n_estimators': 100}",-1.229661381570129
